cancer_type,n_cancer,n_healthy,cv_auc_mean,cv_auc_std,test_accuracy,test_balanced_acc,test_f1,test_auc
Colorectal,123,145,0.3955,0.0409,0.6667,0.6538,0.5714,0.6917
Breast,193,126,0.6538,0.029,0.6094,0.5862,0.6835,0.6503
