Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR34777679,AMPLICON,501,50677704,PRJNA1298576,SAMN50279972,Metagenome or environmental,33476819,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/27/2024,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911054,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK34f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy23,tissue sample,SRP604594,not applicable
SRR34777680,AMPLICON,501,44772680,PRJNA1298576,SAMN50279971,Metagenome or environmental,29200301,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/26/2024,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911053,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK33f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy22,tissue sample,SRP604594,not applicable
SRR34777681,AMPLICON,501,40186640,PRJNA1298576,SAMN50279970,Metagenome or environmental,25986402,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/25/2024,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX29911052,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK32f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy21,tissue sample,SRP604594,not applicable
SRR34777682,AMPLICON,501,93339465,PRJNA1298576,SAMN50279952,Metagenome or environmental,58347432,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/7/2024,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911051,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK3f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy3,tissue sample,SRP604594,not applicable
SRR34777683,AMPLICON,501,52247704,PRJNA1298576,SAMN50279969,Metagenome or environmental,34252261,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/24/2024,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911050,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK31f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy20,tissue sample,SRP604594,not applicable
SRR34777684,AMPLICON,501,31960901,PRJNA1298576,SAMN50279968,Metagenome or environmental,20786053,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/23/2024,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911049,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK30f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy19,tissue sample,SRP604594,not applicable
SRR34777685,AMPLICON,501,35194748,PRJNA1298576,SAMN50279967,Metagenome or environmental,23623272,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/22/2024,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911048,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK29f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy18,tissue sample,SRP604594,not applicable
SRR34777686,AMPLICON,501,37962968,PRJNA1298576,SAMN50279966,Metagenome or environmental,24820752,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/21/2024,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29911047,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK28f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy17,tissue sample,SRP604594,not applicable
SRR34777687,AMPLICON,501,38323015,PRJNA1298576,SAMN50279965,Metagenome or environmental,24513325,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/20/2024,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911046,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK27f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy16,tissue sample,SRP604594,not applicable
SRR34777688,AMPLICON,501,26493790,PRJNA1298576,SAMN50279963,Metagenome or environmental,15509193,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/18/2024,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX29911045,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK14f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy14,tissue sample,SRP604594,not applicable
SRR34777689,AMPLICON,501,35323304,PRJNA1298576,SAMN50279964,Metagenome or environmental,20280609,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/19/2024,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911044,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK15f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy15,tissue sample,SRP604594,not applicable
SRR34777690,AMPLICON,501,76430119,PRJNA1298576,SAMN50279962,Metagenome or environmental,47996484,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/17/2024,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29911043,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK13f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy13,tissue sample,SRP604594,not applicable
SRR34777691,AMPLICON,501,84905657,PRJNA1298576,SAMN50279961,Metagenome or environmental,53229725,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/16/2024,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29911042,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK12f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy12,tissue sample,SRP604594,not applicable
SRR34777692,AMPLICON,501,91526103,PRJNA1298576,SAMN50279960,Metagenome or environmental,56412031,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/15/2024,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911041,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK11f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy11,tissue sample,SRP604594,not applicable
SRR34777693,AMPLICON,501,72763923,PRJNA1298576,SAMN50279951,Metagenome or environmental,45787827,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/6/2024,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911040,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK2f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy2,tissue sample,SRP604594,not applicable
SRR34777694,AMPLICON,501,86269825,PRJNA1298576,SAMN50279959,Metagenome or environmental,55801261,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/14/2024,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911039,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK10f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy10,tissue sample,SRP604594,not applicable
SRR34777695,AMPLICON,501,70069592,PRJNA1298576,SAMN50279958,Metagenome or environmental,44583838,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/13/2024,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911038,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK9f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy9,tissue sample,SRP604594,not applicable
SRR34777696,AMPLICON,501,94963709,PRJNA1298576,SAMN50279957,Metagenome or environmental,60572327,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/12/2024,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911037,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK8f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy8,tissue sample,SRP604594,not applicable
SRR34777697,AMPLICON,501,111316531,PRJNA1298576,SAMN50279956,Metagenome or environmental,71479182,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/11/2024,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911036,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK7f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy7,tissue sample,SRP604594,not applicable
SRR34777698,AMPLICON,501,103374328,PRJNA1298576,SAMN50279955,Metagenome or environmental,65494815,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/10/2024,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911035,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK6f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy6,tissue sample,SRP604594,not applicable
SRR34777699,AMPLICON,501,102647031,PRJNA1298576,SAMN50279950,Metagenome or environmental,63977960,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/5/2024,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911034,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK1f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy1,tissue sample,SRP604594,not applicable
